Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9419,"Shopaholic Ties the Knot (Shopaholic, #3)",Sophie Kinsella,"Kinsella, Sophie",,"=""0440241898""","=""9780440241898""",4,3.79,Dell,Mass Market Paperback,407,2004,2002,2020/08/10,2020/07/31,,,read,,,,1,0
6853,"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"Evanovich, Janet",,"=""0312362080""","=""9780312362089""",4,4.05,St. Martin's Griffin,Paperback,320,2006,1994,2020/08/04,2020/07/31,,,read,,,,1,0
9418,"Shopaholic Takes Manhattan (Shopaholic, #2)",Sophie Kinsella,"Kinsella, Sophie",,"=""0440241812""","=""9780440241812""",4,3.78,Dell,Mass Market Paperback,387,2004,2001,2020/07/31,2020/07/03,,,read,,,,1,0
13214,"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.30,Bantam Books,Paperback,289,1993,1969,,2020/07/29,to-read,to-read (#123),to-read,,,,0,0
16280,Why Are All The Black Kids Sitting Together in the Cafeteria?,Beverly Daniel Tatum,"Tatum, Beverly Daniel",,"=""0465083617""","=""9780465083619""",0,4.34,Basic Books,Paperback,464,2017,1997,,2020/07/17,to-read,to-read (#122),to-read,,,,0,0
464260,The Fire Next Time,James Baldwin,"Baldwin, James",,"=""067974472X""","=""9780679744726""",0,4.55,Vintage,Paperback,106,1992,1963,,2020/07/17,to-read,to-read (#119),to-read,,,,0,0
53103895,One to Watch,Kate Stayman-London,"Stayman-London, Kate",,"=""0525510443""","=""9780525510444""",0,3.87,Dial Press,Paperback,417,2020,2020,,2020/07/17,to-read,to-read (#118),to-read,,,,0,0
52673963,Trust No One (Devlin & Falco #1),Debra Webb,"Webb, Debra",,"=""1542018099""","=""9781542018098""",0,4.23,Thomas & Mercer,Paperback,428,2020,2020,,2020/07/05,to-read,to-read (#65),to-read,,,,0,0
52952309,Cleo McDougal Regrets Nothing,Allison Winn Scotch,"Scotch, Allison Winn",,"=""""","=""""",0,3.66,Lake Union Publishing,Unknown Binding,,,2020,,2020/07/05,to-read,to-read (#116),to-read,,,,0,0
49266371,Someone Else's Secret,Julia Spiro,"Spiro, Julia",,"=""1542022355""","=""9781542022354""",0,3.86,Lake Union Publishing,Hardcover,368,2020,2020,,2020/07/05,to-read,to-read (#115),to-read,,,,0,0
51853633,Sorry I Missed You,Suzy Krause,"Krause, Suzy",,"=""""","=""""",0,3.64,Lake Union Publishing,Hardcover,316,2020,2020,,2020/07/05,to-read,to-read (#114),to-read,,,,0,0
50160315,"Love on Beach Avenue (The Sunshine Sisters, #1)",Jennifer Probst,"Probst, Jennifer",,"=""1542015928""","=""9781542015929""",0,4.05,Montlake Romance,Kindle Edition,315,2020,2020,,2020/07/05,to-read,to-read (#113),to-read,,,,0,0
51038295,The Other Family,Loretta Nyhan,"Nyhan, Loretta",,"=""1542006430""","=""9781542006439""",0,3.71,Lake Union Publishing,Paperback,288,2020,2020,,2020/07/05,to-read,to-read (#112),to-read,,,,0,0
46127920,"Hide Away (Rachel Marin Thriller, #1)",Jason Pinter,"Pinter, Jason",,"=""1542005922""","=""9781542005920""",0,4.27,Thomas & Mercer,Kindle Edition,413,2020,2020,,2020/07/05,to-read,to-read (#111),to-read,,,,0,0
44778276,The Future of Feeling: Building Empathy in a Tech-Obsessed World,Kaitlin Ugolik Phillips,"Phillips, Kaitlin Ugolik",,"=""1978691203""","=""9781978691209""",0,3.21,Brilliance Audio,Audio CD,0,2020,2020,,2020/07/05,to-read,to-read (#110),to-read,,,,0,0
46194968,The Likely Resolutions of Oliver Clock,Jane  Riley,"Riley, Jane",,"=""154200814X""","=""9781542008143""",0,3.75,Lake Union Publishing,Paperback,315,2020,2020,,2020/07/05,to-read,to-read (#109),to-read,,,,0,0
42847645,"Lost Hills (Eve Ronin, #1)",Lee Goldberg,"Goldberg, Lee",,"=""154209190X""","=""9781542091909""",0,4.19,Thomas & Mercer,Kindle Edition,237,2020,2020,,2020/07/05,to-read,to-read (#108),to-read,,,,0,0
43706708,Home Truths,Tina Seskis,"Seskis, Tina",,"=""1542093589""","=""9781542093583""",0,3.80,Lake Union Publishing,Paperback,335,2019,2019,,2020/07/05,to-read,to-read (#107),to-read,,,,0,0
51247073,Your Perfect Year,Charlotte Lucas,"Lucas, Charlotte",Alison Layland,"=""1542004608""","=""9781542004602""",0,3.74,Amazon Crossing,Kindle Edition,439,2019,2016,,2020/07/05,to-read,to-read (#106),to-read,,,,0,0
42931500,The Rabbit Girls,Anna Ellory,"Ellory, Anna",,"=""1542094194""","=""9781542094191""",0,4.12,Lake Union Publishing,Paperback,396,2019,2019,,2020/07/05,to-read,to-read (#105),to-read,,,,0,0
43497899,Relative Fortunes (Julia Kydd #1),Marlowe Benn,"Benn, Marlowe",,"=""1542091691""","=""9781542091695""",0,3.69,Lake Union Publishing,Paperback,320,2019,2019,,2020/07/05,to-read,to-read (#104),to-read,,,,0,0
39348838,Man Fast: How one woman's dating detox turned into a spiritual reckoning across four continents,Natasha Scripture,"Scripture, Natasha",,"=""0349412456""","=""9780349412450""",0,3.26,Piatkus,Kindle Edition,288,2018,2018,,2020/07/05,to-read,to-read (#103),to-read,,,,0,0
41451741,I'm Fine and Neither Are You,Camille Pagán,"Pagán, Camille",,"=""1542042550""","=""9781542042550""",0,3.73,Lake Union Publishing,Hardcover,270,2019,2019,,2020/07/05,to-read,to-read (#102),to-read,,,,0,0
